userlang_id,user_id,lang_id,fluent
1,1,2,False
2,1,1,True
3,2,1,False
4,2,2,True
5,3,2,False
6,3,1,True
7,4,1,False
8,4,2,True
9,5,2,False
10,5,1,True
11,6,1,False
12,6,2,True
13,7,2,False
14,7,1,True
15,8,1,False
16,8,2,True
17,9,2,False
18,9,1,True
19,10,1,False
20,10,2,True
21,11,9,False
22,11,1,True
23,12,1,False
24,12,9,True
25,13,9,False
26,13,1,True
27,14,1,False
28,14,9,True
29,15,9,False
30,15,1,True
31,16,1,False
32,16,9,True
33,17,9,False
34,17,1,True
35,18,1,False
36,18,9,True
37,19,9,False
38,19,1,True
39,20,1,False
40,20,9,True